X Coordinate	Y Coordinate	Time Spent	Image Viewed
407.1928	398.1143	3027.0	1.0
490.2754	312.3857	36.0	1.0
527.084	297.9205	32.0	1.0
546.084	293.208	32.0	1.0
546.084	293.208	35.0	1.0
558.8179	291.0088	32.0	1.0
606.9829	281.0237	32.0	1.0
608.6343	287.4751	49.0	1.0
606.9527	290.0118	60.0	1.0
606.2844	330.0263	58.0	1.0
606.2844	330.0263	36.0	1.0
591.4875	452.3571	36.0	1.0
591.556	461.1416	39.0	1.0
591.7488	458.166	40.0	1.0
632.0906	474.6165	36.0	1.0
660.2713	485.1125	38.0	1.0
680.0862	492.885	39.0	1.0
694.3669	498.2773	38.0	1.0
705.2833	502.2991	33.0	1.0
762.8281	525.1093	41.0	1.0
766.9594	529.8291	33.0	1.0
767.1859	527.5294	32.0	1.0
767.1859	527.5294	32.0	1.0
764.0207	524.3681	33.0	1.0
763.6626	522.2936	33.0	1.0
773.7124	470.8419	32.0	1.0
844.9009	218.9417	36.0	1.0
848.6804	222.6726	42.0	1.0
846.1627	226.165	38.0	1.0
844.8876	225.289	35.0	1.0
843.4669	227.4938	33.0	1.0
843.8049	228.9088	34.0	1.0
844.747	230.4454	33.0	1.0
631.6803	282.8399	33.0	1.0
637.2938	290.4764	44.0	1.0
630.7987	284.2621	37.0	1.0
631.6127	287.6634	36.0	1.0
632.2134	287.7295	33.0	1.0
632.8637	289.0845	34.0	1.0
633.8351	281.7976	32.0	1.0
634.1402	276.6924	37.0	1.0
636.19	272.8884	41.0	1.0
636.3294	269.7394	36.0	1.0
637.2212	267.5059	38.0	1.0
637.443	264.4182	32.0	1.0
638.0421	262.0061	34.0	1.0
637.9106	259.9297	32.0	1.0
637.9106	259.9297	33.0	1.0
1077.9731	420.9	41.0	1.0
1077.9731	420.9	31.0	1.0
1109.5466	428.6869	36.0	1.0
1101.9973	439.496	66.0	1.0
1101.9973	439.496	46.0	1.0
1104.5117	435.896	48.0	1.0
1035.1626	433.6143	530.0	2.0
898.7146	418.2479	51.0	2.0
691.1061	355.0117	53.0	2.0
691.0637	360.3834	53.0	2.0
695.8073	361.1509	52.0	2.0
695.5693	361.9874	53.0	2.0
692.8257	382.0757	53.0	2.0
694.3934	371.0804	54.0	2.0
736.0131	355.7864	55.0	2.0
769.7097	341.411	53.0	2.0
842.3373	224.261	66.0	2.0
874.7993	107.6669	52.0	2.0
869.9086	98.7529	53.0	2.0
869.9905	96.0705	53.0	2.0
871.2399	97.2988	53.0	2.0
872.8016	97.1876	53.0	2.0
880.1201	79.066	58.0	2.0
873.9446	79.9031	57.0	2.0
875.056	74.8156	57.0	2.0
876.3375	72.7119	82.0	2.0
876.3459	72.77	58.0	2.0
875.8812	72.7189	57.0	2.0
875.3257	73.1545	58.0	2.0
875.7391	73.3129	83.0	2.0
875.4403	73.7151	61.0	2.0
875.7631	73.5874	59.0	2.0
875.4619	73.1443	58.0	2.0
875.332	73.3386	81.0	2.0
875.6655	73.4824	58.0	2.0
876.306	72.9835	57.0	2.0
876.5418	73.2069	59.0	2.0
877.4904	73.4796	79.0	2.0
877.8566	73.2866	58.0	2.0
877.9262	72.9449	56.0	2.0
753.8657	326.0147	583.0	3.0
755.1189	334.1094	74.0	3.0
750.9473	339.2346	73.0	3.0
732.4514	340.291	75.0	3.0
714.99	345.6091	84.0	3.0
728.5441	348.9739	78.0	3.0
741.6826	350.6193	78.0	3.0
982.1476	195.762	79.0	3.0
982.8129	197.1447	78.0	3.0
985.5746	200.0773	77.0	3.0
983.8425	197.6059	78.0	3.0
984.3396	198.0222	78.0	3.0
984.4739	197.2689	77.0	3.0
984.2496	196.8095	79.0	3.0
985.144	196.6679	82.0	3.0
984.9606	196.8398	77.0	3.0
984.9792	193.5901	78.0	3.0
718.6238	103.1319	97.0	3.0
720.6679	110.8721	79.0	3.0
722.5059	108.1017	78.0	3.0
722.1551	102.1336	94.0	3.0
720.5539	102.7091	78.0	3.0
720.7966	102.9534	79.0	3.0
719.8578	102.1086	98.0	3.0
719.6989	104.7178	83.0	3.0
967.4553	205.9421	580.0	4.0
946.3552	214.0303	98.0	4.0
934.7913	219.8934	98.0	4.0
920.7432	227.8264	98.0	4.0
708.0621	197.6674	110.0	4.0
706.8442	177.7042	101.0	4.0
707.5136	169.3924	116.0	4.0
672.2178	-40.2769	99.0	4.0
677.9815	-42.0574	99.0	4.0
679.2919	-41.9993	100.0	4.0
679.6519	-39.8704	99.0	4.0
703.677	128.3077	104.0	4.0
696.8803	123.672	97.0	4.0
599.6694	282.7089	98.0	4.0
595.5776	285.6355	100.0	4.0
602.7473	299.4503	99.0	4.0
600.4152	296.2418	115.0	4.0
599.6475	297.0135	99.0	4.0
597.9828	295.4799	99.0	4.0
600.132	295.1597	100.0	4.0
752.9371	175.9202	623.0	5.0
745.6386	166.9515	120.0	5.0
742.7174	169.5411	120.0	5.0
760.4885	295.6208	123.0	5.0
760.485	294.318	121.0	5.0
797.5121	272.0832	123.0	5.0
806.7914	266.9398	120.0	5.0
807.9366	269.4334	134.0	5.0
810.218	273.5176	120.0	5.0
816.3856	269.3233	132.0	5.0
811.6088	273.0941	119.0	5.0
799.7212	289.7586	137.0	5.0
797.8752	295.2549	119.0	5.0
806.5538	288.9377	132.0	5.0
813.5586	283.3674	122.0	5.0
975.79	257.21	131.0	5.0
