X Coordinate	Y Coordinate	Time Spent	Image Viewed
1507.726	84.1691	3047.0	1.0
1682.3652	44.1914	39.0	1.0
1699.6161	33.5893	33.0	1.0
1697.7682	34.7873	34.0	1.0
1693.384	31.9305	33.0	1.0
1694.3783	31.8317	45.0	1.0
1696.0636	34.7432	38.0	1.0
1695.4305	32.4121	36.0	1.0
1696.0247	32.2579	39.0	1.0
1695.0665	32.9781	40.0	1.0
1251.7498	241.5937	35.0	1.0
910.2291	351.3502	55.0	1.0
901.9759	361.7453	33.0	1.0
901.8834	360.1339	39.0	1.0
905.5347	366.5823	39.0	1.0
905.5347	366.5823	34.0	1.0
882.3248	372.4941	33.0	1.0
720.4661	481.4391	35.0	1.0
726.6765	476.9713	48.0	1.0
728.5267	469.9403	34.0	1.0
728.5267	469.9403	32.0	1.0
729.2536	472.5433	36.0	1.0
729.678	472.3424	38.0	1.0
729.678	472.3424	40.0	1.0
727.6702	500.9156	40.0	1.0
727.2229	518.2521	40.0	1.0
726.4695	526.1312	39.0	1.0
725.9229	530.5247	34.0	1.0
725.9229	530.5247	31.0	1.0
723.814	540.5962	34.0	1.0
722.684	545.8245	33.0	1.0
722.684	545.8245	34.0	1.0
723.8275	544.1261	38.0	1.0
892.0745	364.2639	41.0	1.0
905.2762	353.4283	37.0	1.0
900.9718	354.134	32.0	1.0
898.8273	357.7458	34.0	1.0
899.2921	361.7625	32.0	1.0
897.1664	364.4524	33.0	1.0
918.2284	360.2216	41.0	1.0
1063.0339	307.772	39.0	1.0
1048.8489	327.5326	37.0	1.0
1046.2615	320.7484	32.0	1.0
1050.3042	322.7067	36.0	1.0
1049.5708	322.207	32.0	1.0
1048.4019	323.2129	35.0	1.0
1049.6937	322.3449	39.0	1.0
1061.0333	332.439	39.0	1.0
1232.4556	472.566	38.0	1.0
1223.6505	461.1458	33.0	1.0
1220.323	462.2586	34.0	1.0
1222.4152	461.1216	51.0	1.0
1216.847	464.1188	75.0	1.0
823.376	353.5621	547.0	2.0
823.6885	362.8223	53.0	2.0
823.6885	362.8223	52.0	2.0
785.3837	342.5137	53.0	2.0
782.0348	333.268	53.0	2.0
785.302	330.2628	52.0	2.0
784.7503	342.2154	53.0	2.0
781.4658	341.832	54.0	2.0
774.2004	350.1151	53.0	2.0
749.8469	339.4251	55.0	2.0
748.6895	336.3703	53.0	2.0
749.8605	326.7398	53.0	2.0
749.0372	322.0665	52.0	2.0
747.8602	320.2364	53.0	2.0
748.467	317.7782	53.0	2.0
868.9179	389.7879	53.0	2.0
909.7231	442.6469	52.0	2.0
904.116	437.8037	59.0	2.0
899.6011	434.0924	77.0	2.0
900.1657	427.5812	57.0	2.0
901.472	424.4791	58.0	2.0
899.2605	424.658	58.0	2.0
779.4683	330.4177	76.0	2.0
758.7472	299.5761	57.0	2.0
761.0323	306.8651	58.0	2.0
757.3328	300.3296	58.0	2.0
752.6137	300.1218	78.0	2.0
750.806	299.0941	58.0	2.0
750.0938	298.6044	52.0	2.0
749.8484	298.5994	52.0	2.0
750.1301	296.8852	62.0	2.0
749.6212	294.6133	53.0	2.0
748.858	294.6344	53.0	2.0
747.889	294.1801	54.0	2.0
745.1979	293.5717	52.0	2.0
459.1396	407.7071	55.0	2.0
376.9927	446.317	577.0	3.0
424.3983	428.2625	77.0	3.0
583.1	376.2246	78.0	3.0
580.5562	382.7771	78.0	3.0
578.996	387.8215	77.0	3.0
686.5864	243.7272	80.0	3.0
686.3764	244.512	79.0	3.0
671.3694	230.247	77.0	3.0
667.9558	223.8402	78.0	3.0
668.7771	218.9474	91.0	3.0
670.3446	213.9663	78.0	3.0
670.3474	213.1375	79.0	3.0
669.662	210.6703	95.0	3.0
669.6504	208.8558	77.0	3.0
669.1612	207.0368	78.0	3.0
669.5756	203.9745	100.0	3.0
668.4939	202.758	80.0	3.0
668.3422	201.1458	80.0	3.0
669.3399	198.607	90.0	3.0
670.042	199.3937	79.0	3.0
669.4194	199.1093	78.0	3.0
668.7587	198.0858	95.0	3.0
668.1602	197.9585	79.0	3.0
668.1602	197.9585	81.0	3.0
708.2589	327.3949	609.0	4.0
705.2845	335.669	98.0	4.0
707.2621	344.103	101.0	4.0
708.292	344.5297	98.0	4.0
696.6668	316.5895	100.0	4.0
687.0629	291.9247	119.0	4.0
678.4294	271.7377	97.0	4.0
672.7632	258.6445	99.0	4.0
669.9478	251.0369	99.0	4.0
666.3265	242.8632	99.0	4.0
662.5008	236.0109	110.0	4.0
662.5008	236.0109	100.0	4.0
666.8825	234.3158	104.0	4.0
659.2344	254.1026	98.0	4.0
659.0617	259.9394	99.0	4.0
659.0617	259.9394	104.0	4.0
781.062	128.2231	98.0	4.0
722.6506	190.8063	100.0	4.0
832.0172	364.6036	99.0	4.0
834.4188	355.6465	100.0	4.0
682.3951	235.4122	626.0	5.0
692.9346	261.4273	119.0	5.0
702.8836	281.9092	143.0	5.0
718.4028	295.296	121.0	5.0
942.0574	310.2521	132.0	5.0
1191.1268	309.0599	119.0	5.0
1209.7017	195.0201	131.0	5.0
1208.7904	200.0011	124.0	5.0
757.141	288.3834	127.0	5.0
763.4743	285.5628	122.0	5.0
781.9976	297.4267	135.0	5.0
780.7448	295.8987	119.0	5.0
781.6378	297.9961	136.0	5.0
783.7213	297.873	122.0	5.0
783.9879	296.6636	132.0	5.0
785.3123	297.9772	122.0	5.0
