X Coordinate	Y Coordinate	Time Spent	Image Viewed
802.3353	787.2567	3029.0	1.0
795.2894	789.9578	34.0	1.0
750.8954	796.657	39.0	1.0
551.0429	842.0185	39.0	1.0
560.9858	836.361	37.0	1.0
555.1136	836.9957	33.0	1.0
523.5455	847.2579	42.0	1.0
500.0479	838.2512	50.0	1.0
627.8827	465.0837	65.0	1.0
579.828	476.5842	77.0	1.0
582.9748	474.8143	38.0	1.0
599.3141	472.6869	43.0	1.0
608.9307	471.1677	41.0	1.0
627.7308	464.6121	41.0	1.0
724.1463	573.887	41.0	1.0
705.045	555.6265	39.0	1.0
720.9619	527.6424	76.0	1.0
720.9619	527.6424	86.0	1.0
740.8171	508.3474	51.0	1.0
674.8622	502.5692	45.0	1.0
613.8342	565.3917	41.0	1.0
575.6686	530.4465	37.0	1.0
562.1689	567.5845	48.0	1.0
566.0492	568.4136	35.0	1.0
568.8657	567.7727	33.0	1.0
566.9282	560.385	34.0	1.0
559.8128	555.3194	39.0	1.0
553.6451	553.7049	40.0	1.0
1137.0936	683.2418	66.0	1.0
1117.4535	677.6418	50.0	1.0
1112.5931	690.565	50.0	1.0
1104.0154	710.9508	50.0	1.0
1047.1768	698.7435	51.0	1.0
1073.1223	736.623	74.0	1.0
1122.0469	631.7778	52.0	1.0
1149.8799	604.326	52.0	1.0
1181.6473	512.2532	46.0	1.0
1192.0912	438.9476	57.0	1.0
1167.6714	446.7684	71.0	1.0
1161.7996	435.5451	36.0	1.0
1150.5624	440.1195	39.0	1.0
1145.6841	438.5618	42.0	1.0
1262.2239	463.0968	568.0	2.0
1160.4341	499.0824	63.0	2.0
1160.4341	499.0824	55.0	2.0
1160.4341	499.0824	59.0	2.0
985.8752	406.7097	58.0	2.0
986.683	371.3163	62.0	2.0
980.2437	375.4789	58.0	2.0
811.542	373.177	58.0	2.0
809.7029	349.0317	58.0	2.0
810.9177	374.0816	55.0	2.0
813.3111	376.6629	56.0	2.0
839.3735	183.1949	58.0	2.0
843.3596	193.0479	55.0	2.0
828.045	166.751	56.0	2.0
826.3564	164.8548	58.0	2.0
828.2651	164.8614	58.0	2.0
829.1987	171.8057	57.0	2.0
832.7864	165.7075	59.0	2.0
833.6861	161.6252	67.0	2.0
833.6218	160.7773	56.0	2.0
833.3758	162.2506	57.0	2.0
834.0734	162.1216	56.0	2.0
834.5659	160.891	62.0	2.0
1138.2264	259.071	70.0	2.0
1119.4088	281.2532	61.0	2.0
1116.2045	294.5579	62.0	2.0
1131.2605	320.8926	61.0	2.0
1151.3256	338.3148	68.0	2.0
1157.642	341.5797	61.0	2.0
1171.1757	355.8081	62.0	2.0
1222.6173	548.1713	65.0	2.0
1246.903	536.2248	69.0	2.0
1238.8192	540.8934	61.0	2.0
489.2897	539.0653	605.0	3.0
535.3805	550.305	82.0	3.0
538.9425	542.7529	85.0	3.0
637.1548	417.8528	89.0	3.0
661.7355	424.6903	85.0	3.0
671.8372	353.3628	83.0	3.0
690.6042	196.4064	85.0	3.0
814.0571	236.0314	89.0	3.0
1002.2845	267.8427	86.0	3.0
1013.9634	265.8569	86.0	3.0
1005.7477	254.7081	86.0	3.0
997.1389	253.5611	84.0	3.0
973.5482	249.5276	86.0	3.0
966.8566	249.4704	85.0	3.0
966.8566	249.4704	85.0	3.0
1340.334	350.9741	88.0	3.0
1322.6543	363.4697	85.0	3.0
1326.3457	360.5314	85.0	3.0
1162.4138	445.3206	86.0	3.0
1175.604	460.6103	83.0	3.0
1162.6461	452.7102	86.0	3.0
934.8118	316.885	87.0	3.0
963.3962	310.6476	85.0	3.0
569.2849	397.6147	86.0	3.0
556.8669	396.0441	546.0	4.0
706.5522	371.4789	106.0	4.0
713.6649	403.1934	110.0	4.0
693.9014	364.6054	104.0	4.0
663.4919	180.4998	105.0	4.0
659.8513	155.2148	108.0	4.0
652.4371	127.6219	104.0	4.0
645.0416	123.481	113.0	4.0
625.3558	112.4739	122.0	4.0
613.1783	119.8799	110.0	4.0
611.0035	272.4409	132.0	4.0
451.6893	384.2238	109.0	4.0
451.6893	384.2238	108.0	4.0
69.1924	406.7904	110.0	4.0
219.0332	470.4588	115.0	4.0
724.8809	731.6754	107.0	4.0
767.9886	726.2277	109.0	4.0
1245.7384	594.3568	115.0	4.0
776.6064	410.8333	704.0	5.0
775.8166	409.1288	132.0	5.0
771.1685	415.7476	130.0	5.0
769.6232	417.8106	134.0	5.0
767.5219	424.7306	132.0	5.0
766.7	421.9823	129.0	5.0
629.5637	419.6475	155.0	5.0
279.9926	624.5352	132.0	5.0
272.3651	603.7231	132.0	5.0
277.616	598.2934	131.0	5.0
1158.9028	338.655	130.0	5.0
1151.1122	319.0031	133.0	5.0
1361.4323	325.7702	135.0	5.0
1352.9543	321.4322	134.0	5.0
1520.9109	612.0292	132.0	5.0
