X Coordinate	Y Coordinate	Time Spent	Image Viewed
763.865	354.3721	3025.0	1.0
758.9521	355.5799	38.0	1.0
753.9281	356.6382	32.0	1.0
749.4465	356.558	44.0	1.0
744.6769	356.7997	40.0	1.0
736.8632	357.3591	64.0	1.0
733.2131	358.1765	38.0	1.0
729.0142	359.3477	38.0	1.0
725.3412	360.058	50.0	1.0
721.8879	360.3061	39.0	1.0
714.767	359.674	60.0	1.0
712.5172	364.3472	39.0	1.0
709.7919	368.1911	39.0	1.0
707.1188	372.262	34.0	1.0
705.1588	377.785	50.0	1.0
702.8022	382.512	35.0	1.0
700.6462	386.7065	38.0	1.0
699.2692	391.289	39.0	1.0
698.7507	398.6258	37.0	1.0
698.8612	404.9625	33.0	1.0
698.5835	411.9073	32.0	1.0
698.6387	418.1873	42.0	1.0
699.9405	424.2115	40.0	1.0
701.9162	429.7859	37.0	1.0
706.618	429.9413	33.0	1.0
711.1694	430.9188	44.0	1.0
715.8101	430.6739	38.0	1.0
724.6179	429.2458	51.0	1.0
729.3727	428.2452	32.0	1.0
841.9107	333.8149	35.0	1.0
929.6825	317.0007	39.0	1.0
925.275	319.2037	40.0	1.0
924.4125	323.3861	37.0	1.0
923.6812	324.8231	33.0	1.0
923.8113	323.9638	44.0	1.0
925.7302	323.9838	32.0	1.0
933.1779	329.0355	38.0	1.0
943.8425	338.4838	41.0	1.0
954.1009	345.7469	46.0	1.0
961.9533	351.9834	52.0	1.0
1032.7504	410.0666	73.0	1.0
1036.1162	426.7548	40.0	1.0
1037.4751	428.0682	37.0	1.0
1037.4751	428.0682	33.0	1.0
1033.2953	426.5767	33.0	1.0
1018.9614	413.4482	35.0	1.0
1006.9265	404.5574	43.0	1.0
998.6034	398.6436	35.0	1.0
993.3059	393.2695	37.0	1.0
990.1364	388.5718	34.0	1.0
584.0911	355.096	561.0	2.0
594.4756	359.5346	53.0	2.0
771.8293	382.8363	52.0	2.0
756.4633	388.5195	54.0	2.0
753.8024	401.7957	53.0	2.0
746.9621	384.8932	55.0	2.0
742.3201	375.2907	53.0	2.0
737.0486	364.4303	53.0	2.0
733.9943	361.4816	52.0	2.0
737.8826	348.5806	57.0	2.0
801.6093	191.6082	58.0	2.0
805.7291	191.8652	82.0	2.0
814.3212	178.6322	58.0	2.0
815.5382	175.7925	56.0	2.0
817.6895	172.3409	57.0	2.0
819.5904	170.6004	82.0	2.0
821.6506	168.1998	58.0	2.0
821.9975	168.2264	56.0	2.0
823.0122	167.7829	58.0	2.0
636.9786	393.0901	82.0	2.0
618.0325	414.8047	57.0	2.0
619.175	414.9374	57.0	2.0
622.136	417.6449	59.0	2.0
609.0862	412.046	76.0	2.0
602.4874	409.7499	57.0	2.0
594.4111	406.5363	60.0	2.0
589.4913	402.73	59.0	2.0
586.467	399.5504	78.0	2.0
584.2361	398.3362	57.0	2.0
581.0079	396.7513	60.0	2.0
779.696	275.0518	58.0	2.0
798.9946	267.6288	73.0	2.0
802.1421	244.4816	57.0	2.0
814.2056	181.7201	569.0	3.0
811.16	186.455	77.0	3.0
758.9171	344.8496	73.0	3.0
750.0378	351.3062	74.0	3.0
750.2046	348.8957	74.0	3.0
748.6193	350.9905	88.0	3.0
736.0617	331.4139	75.0	3.0
723.9641	312.8586	80.0	3.0
838.8179	243.3534	85.0	3.0
948.0438	256.6213	79.0	3.0
953.5984	256.3648	78.0	3.0
951.9177	259.7349	79.0	3.0
950.796	260.6022	79.0	3.0
950.7753	261.4597	81.0	3.0
961.458	262.3752	80.0	3.0
1009.9842	270.2043	79.0	3.0
1008.8873	269.368	80.0	3.0
1002.6919	267.4824	77.0	3.0
994.742	267.6208	81.0	3.0
988.6665	267.6974	78.0	3.0
986.352	267.803	81.0	3.0
982.5841	266.4268	99.0	3.0
982.7458	266.469	78.0	3.0
981.2807	265.1414	79.0	3.0
979.9201	264.9607	95.0	3.0
977.1437	265.0504	585.0	4.0
976.9849	265.3918	105.0	4.0
976.4689	266.3032	101.0	4.0
976.4438	267.3344	101.0	4.0
685.2745	220.0884	123.0	4.0
684.9508	220.052	102.0	4.0
686.218	218.1755	101.0	4.0
670.8474	184.7098	103.0	4.0
662.1742	166.2285	101.0	4.0
656.6155	153.6234	110.0	4.0
652.069	144.4627	105.0	4.0
640.837	119.723	112.0	4.0
640.3319	126.3433	104.0	4.0
640.8936	129.4617	100.0	4.0
641.3952	129.5278	103.0	4.0
643.7565	131.6366	102.0	4.0
643.8302	132.9849	124.0	4.0
642.9107	133.7291	103.0	4.0
643.8787	132.7552	103.0	4.0
613.8841	378.3085	639.0	5.0
820.9341	400.0087	123.0	5.0
825.3638	401.2949	124.0	5.0
823.1071	394.6298	121.0	5.0
813.3288	375.042	128.0	5.0
794.5566	375.4766	124.0	5.0
772.1769	383.8219	126.0	5.0
766.576	373.316	134.0	5.0
768.0675	363.9273	125.0	5.0
766.7098	348.1242	126.0	5.0
1186.693	216.1966	125.0	5.0
1203.3915	206.4688	121.0	5.0
1201.269	200.127	128.0	5.0
1201.9526	198.2343	127.0	5.0
851.0621	317.7087	123.0	5.0
774.1216	313.3224	121.0	5.0
