X Coordinate	Y Coordinate	Time Spent	Image Viewed
1776.6035	-211.3041	3027.0	1.0
1785.5251	-190.3075	35.0	1.0
1795.1685	-171.1911	44.0	1.0
1795.1685	-171.1911	34.0	1.0
1790.4421	-225.0803	34.0	1.0
1788.9412	-229.5808	33.0	1.0
1805.1775	-188.78	34.0	1.0
1805.1775	-188.78	35.0	1.0
1820.0806	-150.7923	37.0	1.0
1820.0806	-150.7923	42.0	1.0
1600.0192	-8.65	36.0	1.0
1600.0192	-8.65	33.0	1.0
692.0823	402.1573	39.0	1.0
692.0823	402.1573	37.0	1.0
692.0823	402.1573	33.0	1.0
692.0823	402.1573	32.0	1.0
735.6857	547.4915	45.0	1.0
741.157	513.417	37.0	1.0
740.5878	499.6275	51.0	1.0
741.0549	497.2875	36.0	1.0
741.3946	494.1318	33.0	1.0
741.6852	494.1234	34.0	1.0
741.0124	493.3691	43.0	1.0
597.4168	496.2417	35.0	1.0
610.3822	488.3473	38.0	1.0
613.5704	494.8391	33.0	1.0
615.2275	493.841	33.0	1.0
614.3837	492.7809	35.0	1.0
614.3837	492.7809	34.0	1.0
615.1403	493.6319	44.0	1.0
615.9545	492.1337	37.0	1.0
616.3455	494.7876	50.0	1.0
616.3455	494.7876	32.0	1.0
616.3455	494.7876	32.0	1.0
616.3455	494.7876	32.0	1.0
616.867	493.4823	37.0	1.0
628.3682	494.0121	45.0	1.0
639.1781	494.9933	34.0	1.0
648.0082	496.1372	52.0	1.0
663.3047	498.0928	49.0	1.0
669.1958	499.1734	51.0	1.0
680.9839	501.2461	72.0	1.0
685.2826	502.1819	49.0	1.0
690.8477	504.2532	41.0	1.0
695.5109	506.2943	45.0	1.0
704.1723	510.4423	36.0	1.0
704.1723	510.4423	37.0	1.0
707.8968	511.7457	36.0	1.0
710.9675	514.0643	37.0	1.0
713.3987	517.6694	35.0	1.0
717.157	521.0076	35.0	1.0
720.9862	524.1821	33.0	1.0
885.7082	310.4955	544.0	2.0
885.1776	309.497	60.0	2.0
883.9677	310.2505	56.0	2.0
883.9525	312.298	69.0	2.0
876.8279	318.1445	66.0	2.0
752.0308	395.1899	60.0	2.0
744.0074	404.9352	55.0	2.0
759.9273	395.5723	59.0	2.0
780.636	361.2733	55.0	2.0
787.3871	351.9827	60.0	2.0
850.9009	148.6049	62.0	2.0
848.2391	133.3688	56.0	2.0
845.6486	114.0542	57.0	2.0
849.135	115.1216	53.0	2.0
1178.0598	226.8689	69.0	2.0
1160.7887	228.1542	61.0	2.0
1161.7739	228.4273	61.0	2.0
1165.7262	242.3929	58.0	2.0
1176.1505	268.0981	86.0	2.0
1178.6085	274.8667	64.0	2.0
1180.2029	279.3438	59.0	2.0
1181.6313	286.3328	62.0	2.0
1180.9181	292.2544	75.0	2.0
830.2124	341.064	62.0	2.0
838.2648	345.3936	61.0	2.0
834.259	347.4514	56.0	2.0
837.2519	347.0589	55.0	2.0
837.2519	347.0589	57.0	2.0
837.2519	347.0589	58.0	2.0
702.2679	412.5109	57.0	2.0
778.9598	329.2959	69.0	2.0
781.0662	322.0582	53.0	2.0
785.9595	313.3369	56.0	2.0
801.1707	346.579	615.0	3.0
798.8157	348.3343	83.0	3.0
798.8409	348.1982	81.0	3.0
798.381	349.3383	81.0	3.0
788.6567	350.1055	84.0	3.0
676.8285	214.1879	84.0	3.0
675.8442	199.9217	83.0	3.0
679.8464	192.2577	85.0	3.0
688.6403	189.1579	82.0	3.0
1036.6985	209.8311	86.0	3.0
1027.197	200.2449	84.0	3.0
1036.7283	188.9502	85.0	3.0
1019.7136	210.3079	86.0	3.0
991.5812	262.3156	85.0	3.0
981.8922	282.4636	85.0	3.0
980.0897	295.3705	83.0	3.0
972.5236	329.9628	81.0	3.0
806.6934	238.6422	86.0	3.0
772.969	221.8162	83.0	3.0
704.8514	198.1407	88.0	3.0
715.8718	194.4012	85.0	3.0
718.4854	191.4152	86.0	3.0
718.5187	188.3352	80.0	3.0
721.7474	188.4974	186.0	3.0
702.9017	156.1172	466.0	4.0
700.6772	155.7896	108.0	4.0
701.9304	163.9139	107.0	4.0
701.663	171.8002	107.0	4.0
701.9732	183.649	110.0	4.0
695.7773	183.772	106.0	4.0
602.1172	29.2589	105.0	4.0
606.0707	7.1953	149.0	4.0
682.2704	197.1037	169.0	4.0
659.1233	189.255	100.0	4.0
667.4274	196.1284	105.0	4.0
670.8934	198.0947	105.0	4.0
667.5489	187.2255	119.0	4.0
659.9662	160.6333	109.0	4.0
656.1962	140.0931	138.0	4.0
658.9769	145.413	103.0	4.0
660.3544	147.6809	109.0	4.0
661.65	151.8312	109.0	4.0
616.7158	137.3764	551.0	5.0
696.6659	185.4252	151.0	5.0
696.6659	185.4252	130.0	5.0
513.0167	177.7527	130.0	5.0
783.8196	317.8424	132.0	5.0
816.3923	297.8911	239.0	5.0
816.3923	297.8911	122.0	5.0
844.345	418.4156	127.0	5.0
812.3822	305.3904	135.0	5.0
793.7697	315.4406	128.0	5.0
789.2405	335.1436	132.0	5.0
784.6757	339.8163	126.0	5.0
785.9196	340.732	132.0	5.0
785.5873	341.2085	128.0	5.0
784.2833	343.1203	132.0	5.0
