X Coordinate	Y Coordinate	Time Spent	Image Viewed
650.6365	228.6973	3035.0	1.0
650.6365	228.6973	34.0	1.0
650.6365	228.6973	35.0	1.0
650.6365	228.6973	33.0	1.0
650.6365	228.6973	45.0	1.0
650.6365	228.6973	37.0	1.0
650.6365	228.6973	38.0	1.0
650.6365	228.6973	43.0	1.0
650.6365	228.6973	34.0	1.0
650.6365	228.6973	34.0	1.0
650.6365	228.6973	35.0	1.0
650.6365	228.6973	40.0	1.0
662.7172	229.4267	32.0	1.0
670.7194	224.248	33.0	1.0
662.1429	239.5967	53.0	1.0
619.0031	326.0568	34.0	1.0
612.5338	307.4899	40.0	1.0
612.5338	307.4899	46.0	1.0
612.5338	307.4899	39.0	1.0
612.5338	307.4899	34.0	1.0
612.5338	307.4899	33.0	1.0
612.5338	307.4899	35.0	1.0
612.5338	307.4899	34.0	1.0
612.5338	307.4899	33.0	1.0
612.5338	307.4899	45.0	1.0
612.5338	307.4899	37.0	1.0
612.5338	307.4899	34.0	1.0
612.5338	307.4899	34.0	1.0
612.5338	307.4899	33.0	1.0
612.5338	307.4899	31.0	1.0
612.5338	307.4899	35.0	1.0
612.5338	307.4899	55.0	1.0
612.5338	307.4899	32.0	1.0
612.5338	307.4899	33.0	1.0
438.7104	453.5215	31.0	1.0
438.7104	453.5215	32.0	1.0
438.7104	453.5215	32.0	1.0
438.7104	453.5215	32.0	1.0
438.7104	453.5215	35.0	1.0
438.7104	453.5215	36.0	1.0
438.7104	453.5215	33.0	1.0
438.7104	453.5215	33.0	1.0
438.7104	453.5215	33.0	1.0
380.5414	511.9607	34.0	1.0
380.5414	511.9607	32.0	1.0
380.5414	511.9607	31.0	1.0
353.6898	539.7988	44.0	1.0
353.6898	539.7988	38.0	1.0
353.6898	539.7988	33.0	1.0
353.6898	539.7988	35.0	1.0
331.3221	551.2143	34.0	1.0
331.3221	551.2143	34.0	1.0
331.3221	551.2143	34.0	1.0
331.3221	551.2143	42.0	1.0
331.3221	551.2143	40.0	1.0
591.9361	450.7591	581.0	2.0
588.9	422.4497	52.0	2.0
593.1802	454.5536	52.0	2.0
587.3972	441.4497	52.0	2.0
591.9825	448.6978	52.0	2.0
590.7723	450.2973	53.0	2.0
594.2104	455.2749	51.0	2.0
595.8666	456.5906	54.0	2.0
594.8026	458.5919	54.0	2.0
594.5118	457.5753	53.0	2.0
680.6583	363.0102	53.0	2.0
763.8146	325.8241	51.0	2.0
764.295	333.0494	52.0	2.0
765.2435	333.5626	53.0	2.0
765.4786	332.7304	53.0	2.0
766.7727	324.5832	52.0	2.0
766.5543	314.9791	50.0	2.0
766.6719	313.3093	54.0	2.0
766.9667	304.4441	52.0	2.0
768.9373	303.5429	53.0	2.0
768.3552	301.0034	53.0	2.0
770.1183	296.4741	52.0	2.0
771.6595	293.5106	62.0	2.0
772.1398	291.9291	52.0	2.0
772.3628	291.4337	52.0	2.0
1054.5532	296.8556	52.0	2.0
1056.5437	289.8513	53.0	2.0
1052.9043	299.5409	58.0	2.0
1055.3558	299.948	53.0	2.0
1039.0359	288.0038	52.0	2.0
830.6794	204.0178	52.0	2.0
827.2849	196.6423	53.0	2.0
816.1797	204.1784	53.0	2.0
813.0721	202.9212	53.0	2.0
813.8641	199.7156	57.0	2.0
813.5237	196.9347	58.0	2.0
816.7357	194.9853	80.0	2.0
757.4899	300.0509	567.0	3.0
755.145	313.5458	78.0	3.0
757.5479	321.9767	78.0	3.0
640.7965	270.0036	78.0	3.0
632.0994	277.5336	77.0	3.0
648.727	249.8968	80.0	3.0
655.9371	240.1405	80.0	3.0
658.6242	235.8732	78.0	3.0
665.962	221.0392	79.0	3.0
668.488	213.3185	82.0	3.0
932.1084	249.5965	77.0	3.0
928.1249	236.7676	78.0	3.0
933.8589	241.7984	95.0	3.0
916.2572	232.0352	77.0	3.0
749.0856	174.5611	78.0	3.0
744.3209	187.1704	93.0	3.0
746.869	183.7582	79.0	3.0
730.9112	182.5613	78.0	3.0
714.07	187.4315	99.0	3.0
705.39	185.3081	80.0	3.0
701.1994	183.0583	79.0	3.0
697.1767	183.1729	93.0	3.0
693.1861	182.9246	78.0	3.0
689.8719	187.3118	78.0	3.0
687.7645	188.7763	94.0	3.0
682.9445	215.9323	587.0	4.0
687.7903	229.0761	98.0	4.0
691.1177	239.8595	99.0	4.0
695.6226	255.872	97.0	4.0
688.8665	257.4586	100.0	4.0
684.7101	257.088	99.0	4.0
679.2432	248.6994	99.0	4.0
675.8835	243.1273	98.0	4.0
673.8646	230.168	97.0	4.0
667.978	219.9655	99.0	4.0
665.4797	209.6265	99.0	4.0
663.5123	207.2806	100.0	4.0
661.9453	199.4891	106.0	4.0
660.9642	203.0272	97.0	4.0
656.5278	190.1133	101.0	4.0
625.0905	109.2994	103.0	4.0
628.6703	85.8744	101.0	4.0
631.5036	94.6854	104.0	4.0
629.4454	93.019	98.0	4.0
634.2493	114.9852	99.0	4.0
664.3489	204.4867	624.0	5.0
680.9714	221.4623	121.0	5.0
675.5091	253.8798	120.0	5.0
677.2467	239.3168	118.0	5.0
689.4234	384.6678	123.0	5.0
683.3052	379.7417	119.0	5.0
699.1249	368.2487	120.0	5.0
737.74	339.1698	121.0	5.0
752.7214	328.6344	120.0	5.0
762.6838	321.7418	119.0	5.0
775.1854	312.3793	128.0	5.0
800.7697	293.7574	121.0	5.0
798.5692	301.7053	131.0	5.0
797.903	292.4447	119.0	5.0
794.8101	295.6615	132.0	5.0
792.5228	299.6626	118.0	5.0
