X Coordinate	Y Coordinate	Time Spent	Image Viewed
802.1143	224.596	3036.0	1.0
799.2466	217.2471	32.0	1.0
806.5281	210.0958	34.0	1.0
807.4044	205.1014	42.0	1.0
803.4322	208.2336	36.0	1.0
803.9158	210.4842	36.0	1.0
805.2938	207.0563	34.0	1.0
799.3627	207.0815	33.0	1.0
785.9794	209.0921	56.0	1.0
766.4559	216.5229	45.0	1.0
766.4559	216.5229	31.0	1.0
759.3149	217.4861	35.0	1.0
605.7745	311.6949	33.0	1.0
603.5684	336.5416	34.0	1.0
614.7835	341.6111	32.0	1.0
585.7792	347.2484	33.0	1.0
574.4727	346.2419	34.0	1.0
565.0192	349.9024	35.0	1.0
565.0192	349.9024	32.0	1.0
557.5737	352.355	34.0	1.0
557.5737	352.355	31.0	1.0
547.8809	353.5641	34.0	1.0
541.8062	354.3118	34.0	1.0
538.6107	351.0085	33.0	1.0
535.7016	351.9903	45.0	1.0
533.361	350.8057	38.0	1.0
530.2659	348.3314	34.0	1.0
530.4804	346.6358	33.0	1.0
529.8159	343.9646	34.0	1.0
529.7957	341.2772	34.0	1.0
529.1737	339.1895	32.0	1.0
531.0917	336.6485	46.0	1.0
536.7607	332.9483	36.0	1.0
650.355	275.0236	34.0	1.0
843.4225	431.9169	35.0	1.0
909.2488	469.8843	33.0	1.0
927.2042	488.6186	34.0	1.0
934.7523	504.3745	33.0	1.0
937.2504	515.8608	44.0	1.0
937.1328	508.0335	38.0	1.0
940.6636	518.7112	35.0	1.0
948.9152	536.8209	33.0	1.0
986.6187	519.2319	34.0	1.0
1011.3038	508.2541	35.0	1.0
1011.3038	508.2541	34.0	1.0
1030.0316	493.6303	42.0	1.0
1228.0574	427.1813	39.0	1.0
1244.0165	427.0994	33.0	1.0
1241.4827	424.2177	36.0	1.0
1232.982	426.2806	33.0	1.0
1232.982	426.2806	33.0	1.0
1227.4689	425.2021	31.0	1.0
1225.4033	421.875	50.0	1.0
1216.0035	420.1216	48.0	1.0
1216.6448	418.5567	50.0	1.0
578.5234	343.5374	560.0	2.0
568.1406	351.1774	53.0	2.0
565.902	346.7158	60.0	2.0
569.9226	341.035	53.0	2.0
554.5618	322.8093	52.0	2.0
577.2336	355.2016	53.0	2.0
579.0334	352.5152	54.0	2.0
610.3682	338.5747	52.0	2.0
778.9675	268.9169	53.0	2.0
776.0778	284.4844	53.0	2.0
770.8354	277.995	52.0	2.0
764.8405	274.7156	53.0	2.0
759.7807	269.7632	53.0	2.0
809.3962	118.7959	52.0	2.0
819.3846	144.6632	54.0	2.0
811.1702	136.0135	52.0	2.0
814.7906	140.6462	71.0	2.0
810.8359	140.6299	58.0	2.0
814.2194	141.027	58.0	2.0
812.9971	139.2573	58.0	2.0
813.2301	138.8412	81.0	2.0
814.2812	137.5339	58.0	2.0
812.6497	138.5723	59.0	2.0
812.9749	136.7323	56.0	2.0
812.8405	136.5321	81.0	2.0
810.805	136.1161	57.0	2.0
431.8492	386.0627	58.0	2.0
415.4793	408.3372	58.0	2.0
355.9909	423.8182	83.0	2.0
234.5203	475.1364	57.0	2.0
242.3584	470.4955	58.0	2.0
252.7616	462.9996	57.0	2.0
262.0507	452.5302	79.0	2.0
269.7583	449.0524	58.0	2.0
849.0541	263.0973	567.0	3.0
832.2177	265.4538	78.0	3.0
832.517	269.3206	80.0	3.0
835.8641	281.8717	78.0	3.0
682.1082	230.0422	78.0	3.0
688.2234	233.7843	86.0	3.0
683.4302	235.5524	77.0	3.0
675.3456	221.521	77.0	3.0
952.5226	237.3673	95.0	3.0
941.5792	236.9176	78.0	3.0
931.8625	227.5504	78.0	3.0
931.7693	217.2012	94.0	3.0
927.8031	204.9272	79.0	3.0
931.3776	197.4289	77.0	3.0
934.7625	190.7454	95.0	3.0
701.45	67.79	83.0	3.0
698.2576	60.0117	78.0	3.0
698.1438	64.0498	94.0	3.0
693.9579	65.6049	79.0	3.0
697.979	62.1945	78.0	3.0
698.569	63.1916	95.0	3.0
463.8121	320.7015	77.0	3.0
465.5199	322.6998	85.0	3.0
272.9542	384.3483	85.0	3.0
682.0893	302.0185	664.0	4.0
496.4051	282.8669	98.0	4.0
497.381	291.3287	97.0	4.0
496.4726	294.1086	98.0	4.0
631.8414	196.7539	98.0	4.0
623.9169	176.2527	97.0	4.0
631.3646	148.3215	122.0	4.0
626.6553	117.6463	98.0	4.0
613.1717	69.0398	99.0	4.0
609.1161	58.7133	100.0	4.0
613.6551	53.0039	97.0	4.0
456.7006	313.9363	120.0	4.0
346.2282	380.579	99.0	4.0
130.0121	417.5312	101.0	4.0
145.6082	430.8118	102.0	4.0
175.4302	416.1817	101.0	4.0
310.1454	472.3584	108.0	4.0
334.8918	444.488	98.0	4.0
587.8839	416.6477	98.0	4.0
743.5215	203.7787	622.0	5.0
731.5443	203.5197	120.0	5.0
728.2568	194.9906	119.0	5.0
736.6615	215.1774	120.0	5.0
743.6869	233.0658	121.0	5.0
750.3847	241.4835	120.0	5.0
690.2347	386.0186	123.0	5.0
694.3167	384.8271	124.0	5.0
672.1786	387.863	126.0	5.0
642.1379	392.3192	122.0	5.0
638.2211	393.471	119.0	5.0
651.0869	391.3554	119.0	5.0
661.3272	390.1833	125.0	5.0
842.3821	340.0942	121.0	5.0
833.6773	363.5714	134.0	5.0
838.7669	364.4222	118.0	5.0
820.0454	365.6596	135.0	5.0
