X Coordinate	Y Coordinate	Time Spent	Image Viewed
544.9861	-123.5332	3040.0	1.0
544.9861	-123.5332	32.0	1.0
516.6863	-111.666	37.0	1.0
404.2086	-89.0062	36.0	1.0
404.2086	-89.0062	37.0	1.0
364.1761	-77.8152	33.0	1.0
347.3148	-72.6568	31.0	1.0
335.553	-70.0847	34.0	1.0
293.0382	-53.6614	31.0	1.0
296.3036	-65.1016	33.0	1.0
298.2172	-65.6188	33.0	1.0
298.0457	-62.1241	44.0	1.0
339.8032	1.863	54.0	1.0
413.2913	87.4555	33.0	1.0
685.8785	410.1725	36.0	1.0
684.019	389.8716	33.0	1.0
692.0704	396.4501	34.0	1.0
693.0529	397.9144	34.0	1.0
693.7704	397.0152	35.0	1.0
693.9538	393.044	31.0	1.0
695.9467	393.1355	33.0	1.0
698.2166	393.3806	32.0	1.0
697.5491	391.8664	34.0	1.0
698.6992	393.4036	33.0	1.0
699.5524	391.2081	34.0	1.0
701.071	392.3775	44.0	1.0
701.1207	391.425	32.0	1.0
701.9279	390.6072	32.0	1.0
701.9279	390.6072	33.0	1.0
591.2029	551.9514	33.0	1.0
592.8842	548.7027	31.0	1.0
595.5939	546.1284	32.0	1.0
590.6729	538.2144	33.0	1.0
590.6729	538.2144	35.0	1.0
589.5117	542.9772	39.0	1.0
581.0525	524.657	37.0	1.0
576.7612	511.4184	35.0	1.0
573.0672	505.6288	33.0	1.0
571.725	501.4612	33.0	1.0
571.725	501.4612	33.0	1.0
570.2914	498.4039	37.0	1.0
568.1468	493.367	33.0	1.0
567.0462	491.0188	31.0	1.0
566.1649	486.9903	34.0	1.0
565.7988	486.695	33.0	1.0
564.7752	485.5518	33.0	1.0
766.1362	343.756	34.0	1.0
933.2709	242.0951	43.0	1.0
924.2488	240.243	39.0	1.0
924.2488	240.243	35.0	1.0
1033.927	221.0968	34.0	1.0
1005.5248	224.0609	33.0	1.0
1005.5248	224.0609	34.0	1.0
1005.5248	224.0609	34.0	1.0
1005.5248	224.0609	44.0	1.0
1005.5248	224.0609	37.0	1.0
1005.5248	224.0609	34.0	1.0
1116.1373	119.7105	586.0	2.0
1118.3787	121.629	58.0	2.0
1119.9138	123.3682	82.0	2.0
1114.7561	129.0082	57.0	2.0
1001.4131	220.7985	58.0	2.0
998.3306	226.0591	58.0	2.0
937.6746	250.0276	80.0	2.0
774.3664	307.8116	57.0	2.0
781.5851	307.3685	59.0	2.0
787.1745	311.7169	58.0	2.0
776.296	304.0469	79.0	2.0
766.2961	296.9245	58.0	2.0
765.802	291.015	57.0	2.0
829.4594	114.3706	58.0	2.0
832.3099	115.4437	76.0	2.0
832.777	113.6284	58.0	2.0
834.6878	111.9832	57.0	2.0
836.1216	112.3607	59.0	2.0
834.2889	110.6507	84.0	2.0
833.1812	111.4957	57.0	2.0
831.6663	111.6856	58.0	2.0
831.8459	111.8019	58.0	2.0
830.5587	111.7253	81.0	2.0
830.2166	111.7165	57.0	2.0
829.7646	112.0265	58.0	2.0
828.7864	112.6521	57.0	2.0
827.5827	113.0696	77.0	2.0
827.6207	113.09	62.0	2.0
826.3826	114.8167	58.0	2.0
825.9992	115.1225	59.0	2.0
825.2264	115.7369	73.0	2.0
830.0335	119.9223	617.0	3.0
830.6445	121.4341	74.0	3.0
830.8521	122.4029	73.0	3.0
831.5717	123.6689	74.0	3.0
831.1343	124.2701	73.0	3.0
813.821	119.0221	98.0	3.0
816.0912	120.9318	79.0	3.0
1027.458	223.9063	79.0	3.0
1025.0215	226.0819	102.0	3.0
1021.7421	226.6483	78.0	3.0
1019.8649	225.6591	78.0	3.0
1016.931	224.9744	103.0	3.0
1014.5591	225.2172	77.0	3.0
1011.5173	225.9423	80.0	3.0
1009.7433	225.1754	96.0	3.0
1007.6399	225.0816	78.0	3.0
1005.9633	224.8195	78.0	3.0
1004.0166	226.3046	97.0	3.0
1003.066	226.8771	78.0	3.0
1002.3586	227.8226	79.0	3.0
1002.5421	228.7341	92.0	3.0
1001.5328	228.8423	78.0	3.0
1001.9717	230.3908	79.0	3.0
1001.4887	231.1009	105.0	3.0
1002.3448	239.8977	576.0	4.0
1003.4261	240.2577	99.0	4.0
1004.9988	242.2727	99.0	4.0
1005.7131	244.701	98.0	4.0
1007.6838	245.6595	115.0	4.0
597.1617	128.0432	98.0	4.0
598.0691	118.489	100.0	4.0
619.7919	87.9137	98.0	4.0
622.5782	89.1957	99.0	4.0
622.9634	87.819	122.0	4.0
622.5413	88.265	99.0	4.0
623.0452	88.7808	99.0	4.0
625.0023	89.8845	103.0	4.0
624.7922	89.0843	100.0	4.0
625.6016	90.4512	116.0	4.0
625.7773	90.2012	99.0	4.0
626.9803	90.4157	100.0	4.0
627.8163	90.7068	100.0	4.0
627.8756	90.7833	104.0	4.0
627.884	91.3093	101.0	4.0
792.9031	448.7278	625.0	5.0
797.2982	448.6025	123.0	5.0
801.8661	452.4262	124.0	5.0
796.1606	451.8734	143.0	5.0
777.4298	441.7906	123.0	5.0
755.384	428.3258	131.0	5.0
741.327	418.1257	121.0	5.0
725.4096	405.5786	133.0	5.0
714.4894	399.6105	122.0	5.0
707.8459	395.2412	128.0	5.0
702.384	389.5076	121.0	5.0
701.8197	393.5104	135.0	5.0
692.4597	388.4809	124.0	5.0
690.6821	387.5251	133.0	5.0
692.9642	385.5542	122.0	5.0
693.6324	382.7937	123.0	5.0
