X Coordinate	Y Coordinate	Time Spent	Image Viewed
1991.5808	-211.8303	3040.0	1.0
1985.5835	-194.4928	32.0	1.0
1985.5835	-194.4928	34.0	1.0
1980.6255	-181.3688	33.0	1.0
1980.7122	-174.9953	32.0	1.0
1966.0106	-137.2496	34.0	1.0
1970.7593	-124.6911	38.0	1.0
1966.9681	-127.6991	33.0	1.0
1772.9498	-33.0295	33.0	1.0
1323.0487	97.8366	55.0	1.0
792.1056	367.9048	33.0	1.0
792.1056	367.9048	33.0	1.0
793.4855	374.1339	33.0	1.0
793.4855	374.1339	36.0	1.0
673.8894	407.9497	39.0	1.0
645.3834	417.8403	35.0	1.0
645.3834	417.8403	33.0	1.0
543.2394	442.016	34.0	1.0
543.0848	460.7225	33.0	1.0
582.4728	467.9123	34.0	1.0
601.1382	461.4904	41.0	1.0
607.0502	469.7003	32.0	1.0
635.7645	473.8117	34.0	1.0
653.6983	479.2446	35.0	1.0
666.7413	483.6128	38.0	1.0
735.089	511.3138	37.0	1.0
747.5291	508.4712	33.0	1.0
748.4438	502.8161	44.0	1.0
762.6401	499.0606	39.0	1.0
838.6787	461.6907	34.0	1.0
882.8644	440.486	34.0	1.0
1037.5894	380.3559	32.0	1.0
1037.5894	380.3559	34.0	1.0
1045.0837	369.2416	50.0	1.0
1038.4778	372.482	35.0	1.0
1020.473	361.1046	32.0	1.0
1007.3403	357.54	32.0	1.0
1007.3403	357.54	34.0	1.0
999.3608	354.9954	34.0	1.0
994.2835	352.6081	33.0	1.0
989.9218	351.2878	34.0	1.0
971.6662	352.4175	43.0	1.0
963.4335	352.0855	40.0	1.0
956.8215	352.963	34.0	1.0
950.9857	353.2415	32.0	1.0
950.9857	353.2415	33.0	1.0
944.5686	354.2681	34.0	1.0
940.8009	354.3907	34.0	1.0
936.6811	355.3156	46.0	1.0
933.258	355.8712	37.0	1.0
1068.9755	398.0824	34.0	1.0
1133.8167	405.0222	33.0	1.0
1130.4196	406.823	33.0	1.0
1134.3285	408.8933	34.0	1.0
1133.0612	411.0774	36.0	1.0
934.451	564.5485	600.0	2.0
933.0837	556.5139	53.0	2.0
603.9424	458.5395	52.0	2.0
621.8973	437.8639	53.0	2.0
620.3734	453.5901	61.0	2.0
617.6553	451.2916	54.0	2.0
624.5325	454.6792	52.0	2.0
795.9669	392.6716	54.0	2.0
811.3416	399.5422	53.0	2.0
811.7343	399.7396	53.0	2.0
785.8972	373.2713	52.0	2.0
779.9628	364.7927	53.0	2.0
773.7151	354.857	53.0	2.0
770.941	350.7484	54.0	2.0
768.3741	348.8995	53.0	2.0
765.4476	346.8476	51.0	2.0
764.7817	345.5335	52.0	2.0
1036.584	312.4881	52.0	2.0
1092.3381	283.9089	64.0	2.0
1091.1377	289.1084	53.0	2.0
1090.7369	286.3285	55.0	2.0
1106.885	276.3553	53.0	2.0
1174.5645	136.2897	53.0	2.0
1177.4019	135.6245	53.0	2.0
1173.6472	140.4739	52.0	2.0
1172.8757	141.8978	53.0	2.0
1172.8965	143.7407	53.0	2.0
1172.4327	145.3618	57.0	2.0
1172.5001	143.3584	70.0	2.0
1167.7892	141.8132	58.0	2.0
1165.9438	141.3187	59.0	2.0
1162.5359	141.9835	58.0	2.0
1160.0527	141.4226	70.0	2.0
1157.9852	139.235	57.0	2.0
1157.8522	138.5344	53.0	2.0
1157.819	136.5157	54.0	2.0
399.3372	457.3016	605.0	3.0
549.7906	439.3502	74.0	3.0
555.144	438.0566	74.0	3.0
549.811	439.2061	73.0	3.0
579.8103	423.376	73.0	3.0
600.1077	414.2739	73.0	3.0
612.2001	273.3275	73.0	3.0
615.6835	280.6693	75.0	3.0
624.022	284.0313	76.0	3.0
625.9459	292.4565	74.0	3.0
626.6331	296.0949	72.0	3.0
786.1996	320.2791	74.0	3.0
912.5947	331.7702	73.0	3.0
908.9966	334.5366	102.0	3.0
888.3486	322.6212	80.0	3.0
882.4715	319.2592	82.0	3.0
879.1984	316.7432	93.0	3.0
874.7999	314.4131	78.0	3.0
872.0728	312.244	78.0	3.0
1408.4119	185.1194	95.0	3.0
1409.0958	188.904	79.0	3.0
1341.7878	286.3313	77.0	3.0
1339.417	277.1977	96.0	3.0
1309.2598	271.6011	82.0	3.0
1294.9182	271.1349	77.0	3.0
311.871	239.5349	603.0	4.0
321.3967	243.0449	99.0	4.0
330.3382	247.6439	100.0	4.0
338.3304	252.6274	98.0	4.0
502.2642	376.495	98.0	4.0
505.3778	377.893	124.0	4.0
466.6908	407.9466	99.0	4.0
452.1016	425.263	98.0	4.0
441.3116	434.5949	99.0	4.0
710.688	300.538	98.0	4.0
719.5315	315.1873	111.0	4.0
1341.2106	391.6256	98.0	4.0
1338.6725	398.6566	100.0	4.0
1333.5792	397.9504	98.0	4.0
1351.254	375.3385	98.0	4.0
1363.0631	358.9921	108.0	4.0
1257.9512	306.8782	99.0	4.0
1252.5273	308.097	101.0	4.0
1256.3026	291.668	98.0	4.0
622.3953	270.9687	100.0	4.0
548.0199	372.6327	627.0	5.0
553.1882	386.843	119.0	5.0
556.0221	386.5609	134.0	5.0
559.9194	392.3465	118.0	5.0
241.4068	588.3435	133.0	5.0
225.6535	629.7333	119.0	5.0
238.3662	620.7843	134.0	5.0
266.5937	604.1932	119.0	5.0
298.8131	588.536	133.0	5.0
303.8218	583.9993	118.0	5.0
276.2227	580.0032	136.0	5.0
266.688	580.2391	120.0	5.0
799.3816	444.7246	133.0	5.0
917.7616	358.2179	120.0	5.0
1232.6426	297.7179	131.0	5.0
1242.6715	280.4106	119.0	5.0
