X Coordinate	Y Coordinate	Time Spent	Image Viewed
597.1264	448.8051	3040.0	1.0
602.2581	457.9851	35.0	1.0
604.7819	460.8905	34.0	1.0
602.462	459.3974	32.0	1.0
601.9261	457.9612	38.0	1.0
601.3582	458.0692	41.0	1.0
602.2029	458.5818	38.0	1.0
599.7816	461.3479	32.0	1.0
599.5796	461.0879	36.0	1.0
606.8793	464.1483	39.0	1.0
721.961	522.3848	39.0	1.0
728.5643	507.313	60.0	1.0
721.006	513.9598	40.0	1.0
721.006	513.9598	37.0	1.0
721.6869	516.4171	31.0	1.0
721.1304	516.5989	36.0	1.0
721.7942	513.0605	31.0	1.0
720.4275	509.9673	36.0	1.0
719.6736	507.322	32.0	1.0
719.6841	501.0185	47.0	1.0
720.5958	498.9413	38.0	1.0
720.4071	494.8925	32.0	1.0
717.1712	505.6224	32.0	1.0
716.2615	632.9385	36.0	1.0
730.5848	594.7058	32.0	1.0
731.2679	585.8845	38.0	1.0
790.2689	604.2746	49.0	1.0
832.7119	605.2139	38.0	1.0
860.6343	608.8143	39.0	1.0
949.1444	625.5748	37.0	1.0
1008.163	569.9817	31.0	1.0
1084.7047	506.9906	35.0	1.0
1109.8646	472.3823	33.0	1.0
1118.6298	454.1748	43.0	1.0
1125.8395	446.5932	39.0	1.0
1182.4033	424.4852	31.0	1.0
1209.6196	447.808	38.0	1.0
1203.2382	441.4541	51.0	1.0
1204.8754	444.0995	53.0	1.0
577.2671	317.4337	69.0	1.0
-239.2296	248.6703	53.0	1.0
310.7181	298.4121	46.0	1.0
310.7181	298.4121	36.0	1.0
379.5745	299.3646	33.0	1.0
425.0538	302.7322	38.0	1.0
605.2577	321.0298	35.0	1.0
588.8888	310.9532	36.0	1.0
587.2432	296.382	34.0	1.0
586.622	309.698	34.0	1.0
585.1799	316.8525	33.0	1.0
586.6588	337.7113	33.0	1.0
540.8882	540.2058	43.0	1.0
826.7339	484.7586	561.0	2.0
805.4996	476.0961	52.0	2.0
577.2462	419.071	53.0	2.0
586.1722	432.7477	53.0	2.0
587.046	437.9986	61.0	2.0
579.6364	444.0632	52.0	2.0
581.2778	449.7171	52.0	2.0
782.3847	339.6894	52.0	2.0
780.6446	355.3519	53.0	2.0
780.5766	343.7197	52.0	2.0
779.1663	345.2633	53.0	2.0
776.6934	347.5062	52.0	2.0
1056.6218	384.2884	53.0	2.0
1091.5701	439.4968	53.0	2.0
1090.8656	425.3666	51.0	2.0
1086.5374	415.7214	53.0	2.0
1121.2117	447.5515	58.0	2.0
1131.0391	452.1236	57.0	2.0
1142.7347	464.9858	80.0	2.0
1145.6672	470.0974	53.0	2.0
1230.9609	559.6014	52.0	2.0
1234.1517	561.2943	53.0	2.0
989.944	552.308	53.0	2.0
865.9835	543.6908	53.0	2.0
402.1077	543.384	53.0	2.0
395.2579	539.9641	52.0	2.0
346.2777	547.1	52.0	2.0
331.7791	547.7277	62.0	2.0
491.3528	558.3823	53.0	2.0
568.8555	487.9858	52.0	2.0
567.3317	507.0205	55.0	2.0
564.8538	497.8236	52.0	2.0
590.7821	498.6243	52.0	2.0
848.9457	352.7172	53.0	2.0
855.3274	370.2301	52.0	2.0
842.3842	375.6991	52.0	2.0
861.1905	379.0672	53.0	2.0
605.6949	484.2652	569.0	3.0
614.4371	502.723	78.0	3.0
610.5056	506.4526	82.0	3.0
611.5305	510.1524	103.0	3.0
611.4257	515.2161	77.0	3.0
752.4562	400.5656	78.0	3.0
749.3767	393.5789	99.0	3.0
799.5516	414.6817	77.0	3.0
832.4959	425.0312	79.0	3.0
1168.0349	470.064	95.0	3.0
1174.4496	460.6509	77.0	3.0
1175.3372	458.1639	80.0	3.0
1179.9071	448.9767	95.0	3.0
1219.1382	307.3029	78.0	3.0
1229.8666	203.5708	79.0	3.0
1248.7848	198.7368	94.0	3.0
1261.4763	187.6338	80.0	3.0
1292.9319	190.5273	79.0	3.0
1282.0076	169.2013	95.0	3.0
1298.6433	192.8879	82.0	3.0
1310.6677	204.8876	79.0	3.0
1320.2063	222.3005	88.0	3.0
1289.4175	633.8923	77.0	3.0
1297.7114	623.413	88.0	3.0
487.8311	341.3341	593.0	4.0
490.532	350.7194	99.0	4.0
494.8981	360.0929	99.0	4.0
500.7925	358.2823	103.0	4.0
631.1189	400.2405	105.0	4.0
490.7603	412.6922	117.0	4.0
307.589	449.9407	99.0	4.0
283.4351	446.852	98.0	4.0
255.6194	447.6227	99.0	4.0
245.4123	437.8236	98.0	4.0
236.964	437.0125	110.0	4.0
575.8816	404.0514	99.0	4.0
570.5	398.2194	99.0	4.0
662.0933	335.7905	101.0	4.0
695.5466	285.5563	101.0	4.0
685.9323	180.1803	104.0	4.0
677.585	185.8756	99.0	4.0
678.4464	161.88	99.0	4.0
1155.8718	236.1335	98.0	4.0
1187.7332	241.0789	98.0	4.0
617.1691	395.8494	631.0	5.0
611.7942	397.0103	119.0	5.0
613.4913	407.8781	141.0	5.0
826.613	416.8811	121.0	5.0
839.2909	445.7531	127.0	5.0
298.9478	601.6769	122.0	5.0
294.6276	605.9698	132.0	5.0
289.9741	599.4138	122.0	5.0
802.3991	364.0835	130.0	5.0
807.2209	341.9066	119.0	5.0
807.1776	329.2863	133.0	5.0
1239.3356	183.1596	126.0	5.0
568.1983	430.8425	124.0	5.0
221.3335	610.2822	121.0	5.0
274.0639	617.6853	133.0	5.0
276.9385	618.738	122.0	5.0
