X Coordinate	Y Coordinate	Time Spent	Image Viewed
646.0718	760.7435	3048.0	1.0
646.0718	760.7435	37.0	1.0
678.5939	901.7092	35.0	1.0
679.7125	940.9023	33.0	1.0
679.7125	940.9023	42.0	1.0
679.7125	940.9023	41.0	1.0
679.7125	940.9023	54.0	1.0
679.7125	940.9023	45.0	1.0
679.7125	940.9023	72.0	1.0
673.5745	853.6498	65.0	1.0
673.5745	853.6498	42.0	1.0
673.5745	853.6498	41.0	1.0
673.5745	853.6498	42.0	1.0
673.5745	853.6498	40.0	1.0
673.5745	853.6498	42.0	1.0
738.1818	762.5096	39.0	1.0
738.1818	762.5096	33.0	1.0
905.1542	453.6585	46.0	1.0
917.2954	460.0626	35.0	1.0
910.345	452.4198	36.0	1.0
912.256	449.5408	36.0	1.0
906.0704	444.2934	43.0	1.0
894.6323	455.3985	33.0	1.0
884.5073	468.4125	41.0	1.0
885.0375	455.1382	37.0	1.0
884.1691	446.7125	34.0	1.0
884.3582	440.3845	35.0	1.0
884.0884	436.7959	34.0	1.0
884.0884	436.7959	35.0	1.0
881.4786	433.2303	34.0	1.0
880.4563	433.903	34.0	1.0
880.4563	433.903	41.0	1.0
783.6967	550.713	36.0	1.0
776.1382	566.3815	34.0	1.0
776.1382	566.3815	33.0	1.0
771.3054	574.9192	34.0	1.0
768.9286	567.7878	33.0	1.0
768.7742	565.8653	34.0	1.0
767.4846	564.7651	41.0	1.0
767.963	557.2452	37.0	1.0
768.2662	552.101	35.0	1.0
767.2906	552.3785	34.0	1.0
766.7781	543.8353	36.0	1.0
767.5098	535.5724	35.0	1.0
767.4772	529.4149	38.0	1.0
766.8675	523.6879	35.0	1.0
767.2503	519.0148	36.0	1.0
767.2986	515.5261	35.0	1.0
767.9741	509.0864	52.0	1.0
766.8008	498.5871	49.0	1.0
764.5948	538.26	586.0	2.0
764.4095	540.6154	58.0	2.0
762.7723	544.6371	56.0	2.0
761.2034	551.5974	59.0	2.0
758.792	560.915	58.0	2.0
758.3869	555.8182	57.0	2.0
760.707	533.0002	59.0	2.0
761.3881	513.9135	57.0	2.0
760.656	504.9617	55.0	2.0
765.7277	331.7339	65.0	2.0
767.8777	328.981	58.0	2.0
768.9338	329.8457	66.0	2.0
766.6131	332.0454	59.0	2.0
766.1511	331.2402	68.0	2.0
765.848	329.2671	59.0	2.0
764.9389	328.6784	60.0	2.0
764.9142	331.7904	60.0	2.0
766.5205	333.3434	75.0	2.0
766.4277	333.8936	60.0	2.0
766.3906	333.2791	61.0	2.0
765.6739	334.7365	59.0	2.0
764.4637	334.5488	75.0	2.0
763.7482	334.0411	63.0	2.0
762.4293	334.0616	63.0	2.0
761.8551	333.5815	61.0	2.0
762.3866	332.9716	168.0	2.0
763.0039	332.7685	83.0	2.0
763.8658	331.9626	83.0	2.0
765.2166	330.9911	60.0	2.0
767.4982	329.0554	60.0	2.0
859.4261	193.2973	595.0	3.0
859.4252	193.077	85.0	3.0
859.1029	193.4593	81.0	3.0
857.3521	194.4086	86.0	3.0
716.8721	248.2371	82.0	3.0
721.2356	251.2028	87.0	3.0
710.1392	243.4725	85.0	3.0
703.7585	237.2901	85.0	3.0
700.8087	234.8958	86.0	3.0
698.0939	232.0058	85.0	3.0
696.4698	229.5747	82.0	3.0
693.6689	226.8769	85.0	3.0
692.6124	225.553	85.0	3.0
692.1792	224.054	86.0	3.0
691.7793	223.5802	85.0	3.0
691.4091	223.2473	86.0	3.0
690.7444	222.0633	83.0	3.0
690.8412	221.4902	85.0	3.0
691.3417	221.5931	94.0	3.0
691.4841	221.7073	82.0	3.0
692.499	221.8336	86.0	3.0
696.8046	223.2957	84.0	3.0
1002.0099	274.4008	85.0	3.0
998.2278	275.5266	83.0	3.0
652.5342	287.8259	641.0	4.0
654.8555	279.8831	107.0	4.0
656.1522	276.1711	109.0	4.0
803.8914	350.3139	108.0	4.0
833.4454	353.0086	107.0	4.0
651.2779	317.4355	108.0	4.0
671.2503	293.5611	110.0	4.0
671.4227	282.7087	132.0	4.0
675.3138	268.6273	106.0	4.0
678.0844	259.4056	133.0	4.0
679.0992	253.7859	110.0	4.0
680.4792	253.7293	110.0	4.0
683.733	262.4522	105.0	4.0
685.9891	270.0324	114.0	4.0
229.6686	388.2822	109.0	4.0
237.1302	386.8846	107.0	4.0
234.9531	367.6581	113.0	4.0
231.8657	356.7748	108.0	4.0
715.6915	171.0836	596.0	5.0
689.2896	299.351	138.0	5.0
693.174	296.1363	131.0	5.0
678.6292	309.9349	134.0	5.0
849.379	295.9031	130.0	5.0
841.4484	298.9858	131.0	5.0
828.3759	302.1227	154.0	5.0
817.811	304.2112	135.0	5.0
811.5185	305.0765	131.0	5.0
808.858	306.6901	134.0	5.0
806.4627	308.368	130.0	5.0
804.8381	309.0327	131.0	5.0
801.5989	310.812	135.0	5.0
801.191	310.7718	131.0	5.0
801.0839	312.2756	129.0	5.0
